PAM16,CBX7
PAM16,DNAJC15
PAM16,IFIH1
PAM16,PARP10
PAM16,PPARA
PAM16,SLC27A3
PAM16,SPRY1
PAM16,TRIM2
PAM16,ZNF554
PAM16,ZNF563
PAM16,ZNF577
PAM16,ZNF785
PARL,FOXO4
PARL,IFIH1
PARL,MTAP
PARL,PARP10
PARL,SLC27A3
PARL,TRIM2
PARL,TXNIP
PARL,ZNF563
PARP8,ANKRD49
PARP8,DDX49
PARP8,EXOSC8
PARP8,FOXA2
PARP8,MDM4
PARP8,MTX2
PARP8,NDUFB5
PARP8,NFE2L2
PARP8,NPEPPS
PARP8,RPS27A
PARP8,TEX10
PARP8,TMEM11
PARP8,UQCRFS1
PARP8,USP7
PARP8,YME1L1
PARP8,ZNHIT3
PCYT1A,CBX7
PCYT1A,PPARA
PCYT1A,PRDX2
PCYT1A,SPRY1
PCYT1A,TNFRSF14
PCYT1A,ZNF577
PCYT1A,ZNF596
PCYT1A,ZNF785
PCYT1A,ZNF85
PFDN4,ARID5B
PFDN4,CBX7
PFDN4,MST1
PFDN4,TRIM2
PFDN4,ZNF433
PFDN4,ZNF554
PFDN4,ZNF596
PGS1,DNAJC15
PGS1,IFIH1
PGS1,JMJD7-PLA2G4B
PGS1,MECOM
PGS1,TIAM1
PGS1,TNFRSF14
PGS1,TXNIP
PHB2,JMJD7-PLA2G4B
PHB2,MTAP
PHB2,PARP10
PHB2,RPS6KA2
PHB2,SLC27A3
PHB2,SPRY1
PHB2,TNFRSF14
PHB2,ZNF433
PHB2,ZNF554
PHB2,ZNF563
PHB2,ZNF596
PHB2,ZNF785
PIAS1,ARID5B
PIAS1,EGR1
PIAS1,JMJD7-PLA2G4B
PIAS1,MST1
PIAS1,PPARA
PIAS1,PRDX2
PIAS1,SPRY1
PIAS1,TNFRSF14
PLAG1,ARF4
PLAG1,ATF4
PLAG1,EXOSC8
PLAG1,FOXA2
PLAG1,GRWD1
PLAG1,HSF1
PLAG1,MTX2
PLAG1,NFE2L2
PLAG1,PIAS1
PLAG1,PSMA7
PLAG1,RPN2
PLAG1,RPS27A
PLAG1,UQCRFS1
PLAG1,USP7
PLAG1,YME1L1
PLAG1,ZNHIT3
